一	1
伾	亻 丆 2 4 1
伿	亻 只
佀	亻 㠯
佁	亻 厶 口
佂	亻 1 止
佃	亻 田
佄	亻 艹 二
佅	亻 未
但	亻 日 1
佇	亻 宀 1 2
佈	亻 左字框 巾
佉	亻 土 厶
佊	亻 皮
佋	亻 刀 口
佌	亻 止 匕
位	亻 立无横 1
低	亻 印字旁 6 4
住	亻 亠 土
佐	亻 左字框 丅 1
佑	亻 左字框 口
佒	亻 见二 大
体	亻 本
佔	亻 卢字头 口
何	亻 1 口 2
佖	亻 必
佗	亻 它
佘	全字头 二 小
余	亼 朩
佚	亻 3 夫
佛	亻 弓 乔字底
作	亻 卧人 2 二
佝	亻 句
佞	亻 二 女
佟	亻 夂 冬字底
你	亻 负字头 小
佡	亻 全字头 山
佢	亻 1 叚右角 6
佣	亻 周字框 举字底
佤	亻 瓦
佥	亼 学字头 1
佦	亻 丆 口
佧	亻 卡
佨	亻 勹 巳
佩	亻 风省 1 巾
佪	亻 回
佫	亻 夂 口
佬	亻 老
佭	亻 夂 牙二 2
佮	亻 亼 口
佯	亻 丷 1 举字底
佰	亻 丆 日
佱	亼 1 止
佲	亻 久二 4 口
佳	亻 土 土
佴	亻 1 耳无一
併	亻 丷 开
佶	亻 士 口
佷	亻 艮
佸	亻 3 十 口
佹	亻 负字头 厂 5 6
佺	亻 全
佻	亻 3 冫 6 飞无折
佼	亻 六 乂
佽	亻 冫 欠
佾	亻 八 青字底
使	亻 1 口 乂
侀	亻 开 刂
侁	亻 3 土 儿
侂	亻 广 3 七
侃	亻 口 荒字底
侄	亻 1 厶 土
侅	亻 亠 亥无亠无人 人
來	1 人 人 木无横
侇	亻 1 弓 人
侈	亻 久二 4 久二 4
侉	亻 大 二 6
侊	亻 尚字头 1 儿
例	亻 歹 刂
侌	亽 5 二 厶
侍	亻 土 寸
侎	亻 丷 木
侏	亻 朱
侐	亻 3 皿
侑	亻 左字框 青字底
侒	亻 宀 女
侓	亻 聿三 举字底
侔	亻 厶 3 举字底
侕	亻 丆 冂 临字旁
侖	亼 冂 艹
侗	亻 同
侘	亻 宀 3 七
侙	亻 1 丅 1 6 4
侚	亻 勹 日
供	亻 共
侜	亻 3 舟无撇
依	亻 亠 3 6 水字边
侞	亻 女 口
侟	亻 左字框 2 5 子字底
侠	亻 1 丷 大
価	亻 覀
侢	亻 1 冂 里无日
侣	亻 口 口
侤	亻 十 左字框 1 6
侥	亻 1 ​戈​无亠 1 儿
侦	亻 卢字头 见二 人
侧	亻 见二 人 刂
侨	亻 夭 乔字底
侩	亻 全字头 二 厶
侪	亻 亠 乂 乔字底
侫	亻 亠 6 女
侬	亻 冖 3 6 水字边
侭	亻 尸 4 冬字底
侮	亻 卧人 6 5 亠 4
侯	亻 5 1 卧人 大
侰	亻 聿三 3 口
侱	亻 口 王
侲	亻 厂 二 6 水字边
侳	亻 人 人 土
侴	亼 5 里无日 刂
侵	亻 彐 冖 又
侶	亻 口 3 口
侷	亻 尸 5 口
侸	亻 1 口 丷 1
侹	亻 3 士 5 4
侺	亻 山 亽 5
侻	亻 丷 兄
侼	亻 十 冖 5 子字底
侽	亻 田 5 3
侾	亻 十 左字框 5 子字底
便	亻 1 日 乂
俀	亻 爫 女
俁	亻 口 6 大
係	亻 3 幺 小
促	亻 口 龰
俄	亻 3 扌 戈无一
俅	亻 于无横 率字腰 4
俆	亻 亼 朩
俇	亻 犭二 3 王
俈	亻 3 土 口
俉	亻 丅 5 1 口
俊	亻 厶 八 夂
俋	亻 口 巴三 6
俌	亻 1 青字底 2 4
俍	亻 4 艮
俎	人 人 见二 三
俏	亻 尚字头 青字底
俐	亻 3 木 刂
俑	亻 5 4 冂 举字底
俒	亻 宀 二 儿
俓	亻 1 巛 丅 1
俔	亻 目 儿
俕	亻 宀 木
俖	亻 丆 2 4 口
俗	亻 谷
俘	亻 爫 5 子字底
俙	亻 乂 左字框 巾
俚	亻 甲 二
俛	亻 免
俜	亻 由 1 6
保	亻 口 木
俞	亼 青字底 刂
俟	亻 厶 卧人 大
俠	亻 1 人 人 人
信	亻 言
俢	亻 夂 彡
俣	亻 口 1 大
俤	亻 丷 弓 2 3
俥	亻 1 車无一
俦	亻 三 3 寸
俧	亻 士 心
俨	亻 1 业无横 厂
俩	亻 1 冂 人 人
俪	亻 1 冂 4 冂 4
俫	亻 1 丷 木
俬	亻 3 木 厶
俭	亻 亼 学字头 1
修	亻 2 夂 彡
俯	亻 广 亻 寸
俰	亻 3 木 口
俱	亻 见二 四横 八
俲	亻 六 乂 5 3
俳	亻 非
俴	亻 1 戈无一 1 戈无一
俵	亻 龶 3 6 水字边
俶	亻 上 小 又
俷	亻 月 巴三 6
俸	亻 三 人 举字底
俹	亻 1 亞无二 1
俺	亻 大 日 6
俻	亻 夂 田
俼	亻 亠 厶 青字底
俽	亻 反字框 丅 欠
俾	亻 卑
俿	亻 虍 几
倀	亻 镸无厶 6 水字边
倁	亻 卧人 大 口
倂	亻 3 无三 3 干
倃	亻 夂 2 4 口
倄	亻 乂 左字框 青字底
倅	亻 亠 人 人 十
倆	亻 1 巾 3 4 3 4
倇	亻 宀 久二 4 5 6
倈	亻 1 人 人 木无横
倉	亽 彐 3 口
倊	亻 八 厶 心
個	亻 见二 十 口 1
倌	亻 宀 㠯
倍	亻 立无横 1 口
