一	1
𡬋	宀 丩 丆 负字头 罒 冖 土 口
𡬌	宀 丩 丆 艹 罒 冖 目
𡬍	宀 丩 丆 艹 罒 冖 丷 木
𡬎	宀 丷 三 儿 丷 三 儿 丷 三 儿
𡬏	宀 王 4 宀 王 4 宀 王 4
𡬐	宀 见二 三 宀 见二 三 宀 见二 三
𡬑	宀 丩 丆 卝 罒 冖 丅 5 1 口
𡬒	宀 丩 丆 艹 罒 冖 3 目 木
𡬓	宀 丩 丆 卝 罒 冖 彐 冖 又
𡬔	宀 目 八 目 八 金
𡬕	宀 心 老 老 老
𡬖	宀 丩 丆 卝 罒 冖 火 火
𡬗	宀 心 皿 1 2 士 冖 1 口 丷 1
𡬘	习 习 全字头 彡 宀 艹 目 儿 4
𡬙	宀 丩 丆 卝 罒 冖 目 八 刂
𡬚	宀 夂 口 宀 夂 口 宀 夂 口
𡬛	宀 心 立无横 1 口 虫无口 立无横 1 口 虫无口
𡬜	宀 寒字腰 八 冬字底 宀 寒字腰 八 冬字底 宀 寒字腰 八 冬字底
𡬝	十 2 4
𡬞	5 5 5 寸
𡬟	3 木 寸
𡬠	即字旁 寸
𡬡	1 叚右角 6 寸
𡬢	5 4 矛无龴 寸
𡬣	兄 寸
𡬤	申 寸
𡬥	冂 举字底 寸
𡬦	八 丅 1 寸
𡬧	上 小 寸
𡬨	三 2 刀 寸
𡬩	日 儿 寸
𡬪	3 皿 寸
𡬫	3 舟无撇 寸
𡬬	冂 举字底 2 寸
𡬭	艹 日 寸
𡬮	宀 㠯 寸
𡬯	盥左角 盥右角 2 寸
𡬰	月 寸 尸 4
𡬱	京 寸
𡬲	巛 目 寸
𡬳	爫 罒 寸
𡬴	人 臣 寸
𡬵	覀 土 寸
𡬶	彐 丅 1 凡 寸
𡬷	目 八 刂 寸
𡬸	巛 臼 寸
𡬹	巛 丆 目 寸
𡬺	罒 1 止 寸
𡬻	肉 尸 4 寸
𡬼	冂 丷 1 山 刂 寸
𡬽	覀 二 小 寸
𡬾	木 1 口 丷 1 寸
𡬿	1 口 口 口 6 寸
𡭀	罒 土 土 寸
𡭁	习 习 全字头 彡 寸
𡭂	1 冂 木无横 日 1 寸
𡭃	1 内 厂 二 6 水字边 寸
𡭄	土 土 土 1 儿 寸
𡭅	享字头 5 子字底 八 刀 寸
𡭆	艹 见二 1 举字底 2 1 寸
𡭇	1 日 虫无口 寸 内
𡭈	口 口 土 土 寸
𡭉	丷 举字底 3 青字底 1 3 寸
𡭊	业无横 1 丷 1 十 口 寸
𡭋	1 见二 人 1 厂 二 6 水字边 寸
𡭌	木 眉字框 目 寸
𡭍	反字框 巴三 6 1 日 虫无口 寸
𡭎	巛 丆 目 辶 寸
𡭏	1 日 虫无口 3 十 口 寸
𡭐	反字框 1 巴三 6 1 日 虫无口 寸
𡭑	彳 巛 丆 目 二 2 寸
𡭒	爫 尸 冂 艹 寸 5 1 口
𡭓	盥左角 盥右角 3 见二 乂 1 1 火 寸
𡭔	少三
𡭕	1 小
𡭖	5 小
𡭗	3 4 小
𡭘	乃 小
𡭙	2 3 3 冂 1
𡭚	三 小
𡭛	小 廾
𡭜	4 门无丶 小
𡭝	少三 3 小
𡭞	小 火
𡭟	少三 3 大
𡭠	龸 匕
𡭡	左字框 亥无亠无人 小
𡭢	小 木
𡭣	小 少三 3
𡭤	小 王
𡭥	勹 横两撇 少三 3
𡭦	小 本
𡭧	出 小
𡭨	目 小
𡭩	2 3 3 彐 八
𡭪	2 3 3 日 儿
𡭫	久二 4 小 寸
𡭬	小 4 门无丶 才
𡭭	小 1 口 乂
𡭮	小 左字框 青字底
𡭯	小 小 小
𡭰	3 冫 6 飞无折 小
𡭱	出 少三 3
𡭲	少三 3 出
𡭳	馬字框 小
𡭴	2 3 3 日 小
𡭵	龸 甲
𡭶	尚字头 1 6 见二 三
𡭷	小 1 豕省
𡭸	少三 3 同
𡭹	亠 亥无亠无人 人 少三 3
𡭺	少三 3 丆 冂 临字旁
𡭻	小 大 1 凵 6
𡭼	小 日 3 十
𡭽	少三 3 日 小
𡭾	小 爫 5 子字底 6
𡭿	龸 口 4 5 4
𡮀	少三 3 见二 八 见二 1
𡮁	小 田 廾
𡮂	小 3 日 小
𡮃	十 艹 口 小
𡮄	小 宀 久二 4 5 6
𡮅	臼 儿 小
𡮆	小 門字旁 門字边
𡮇	亠 人 人 十 小
𡮈	爫 5 子字底 6 小
𡮉	門字旁 門字边 小
𡮊	小 土 厶 刃
𡮋	小 木 攵
𡮌	小 彳 皮
𡮍	小 扌 出
𡮎	亠 几 京
𡮏	少三 3 少三 3 少三 3
𡮐	小 小 小 小
𡮑	少三 3 爫 5 子字底 6
𡮒	3 木 5 子字底 6 小
𡮓	3 十 2 二 匕 少三 3
𡮔	丷 王 大 小
𡮕	龸 口 口 2
𡮖	小 又 出 几
𡮗	少三 3 丆 2 4 辶
𡮘	艹 二 木 少三 3
𡮙	厶 青字底 匕 匕 小
𡮚	小 厶 周字框 土 口
𡮛	小 氵 日 土
𡮜	竹头 夭 小
𡮝	龸 黑五 里无日
𡮞	宀 三 2 口 少三 3
𡮟	厶 厶 小 厶 厶 小
𡮠	负字头 小 眉字框 目
𡮡	小 小 青字底 丄 儿
𡮢	龸 口 亠 日
𡮣	小 門字旁 門字边 才
𡮤	門字旁 門字边 才 小
𡮥	小 門字旁 門字边 才
𡮦	1 曲 日 少三 3
𡮧	见二 八 见二 1 儿 上 小
𡮨	罒 目 八 小
𡮩	門字旁 門字边 才 少三 3
𡮪	小 艹 三 八 欠
𡮫	久二 冬字底 犬 灬 小
𡮬	小 門字旁 門字边 心
𡮭	巳 巳 共 小
𡮮	小 門字旁 門字边 心
𡮯	少三 3 3 土 口 辶
𡮰	广 3 木 3 木 小
𡮱	乂 左字框 厶 2 3 3 日 小
𡮲	小 言 土 寸
𡮳	罒 目 八 少三 3
𡮴	小 勹 王 艹 三 八
𡮵	尚字头 冂 口 千二 申 二
𡮶	千二 申 二 尚字头 冂 口
𡮷	小 臣 又 目 八
𡮸	巳 巳 共 小 大
𡮹	少三 3 艹 冖 二 豕省
𡮺	臣 又 目 八 小
𡮻	臣 临右角 皿 少三 3
𡮼	臣 卧人 冬字底 皿 少三 3
𡮽	小 大 反字框 十 目 辶
𡮾	土 土 土 1 儿 辶 小
𡮿	负字头 口 比字旁 匕 兔 少三 3
𡯀	木 朱三 山 木 冖 乂 鬯四点 凵 比字旁 彡 小
𡯁	左字框 5
𡯂	八 几
𡯃	左字框 化字边
𡯄	左字框 6 5 3
𡯅	1 儿 又
𡯆	左字框 6 厶
𡯇	左字框 6 刂
𡯈	左字框 6 人
𡯉	左字框 6 又
𡯊	1 左字框 6 4
𡯋	左字框 6 干
𡯌	左字框 6 久二 4
𡯍	左字框 6 1 6 2
𡯎	左字框 6 彡
𡯏	左字框 6 冬字底 十
𡯐	左字框 6 木
𡯑	八 儿 2 水字框
𡯒	八 儿 日
𡯓	1 儿 全字头 乔字底
𡯔	左字框 6 八 勹
𡯕	左字框 6 八 刀
𡯖	左字框 6 勹 横两撇
𡯗	八 儿 全字头 乔字底
𡯘	左字框 6 反
𡯙	左字框 6 日
𡯚	八 儿 勹 巳
𡯛	八 儿 左字框 丅 1
𡯜	左字框 6 宀 八
𡯝	1 儿 丆 口
𡯞	左字框 6 1 内
𡯟	左字框 6 4 日
𡯠	八 儿 宀 八
𡯡	左字框 6 勹 巳
𡯢	左字框 6 3 十 口
𡯣	左字框 6 艮
𡯤	乂 左字框 厶 左字框 6
𡯥	左字框 6 口 虫无口
𡯦	左字框 6 几 木
𡯧	八 儿 日 匕
𡯨	左字框 6 人 人 土
𡯩	左字框 6 尚字头 青字底
𡯪	左字框 6 山 王
𡯫	八 儿 3 日 八
𡯬	左字框 6 3 日 八
𡯭	左字框 6 凵 2 王
𡯮	乂 左字框 厶 左字框 6 4
𡯯	左字框 6 4 共
𡯰	左字框 6 1 廾 戈无一
𡯱	八 儿 3 日 匕
𡯲	八 儿 凵 2 王
𡯳	左字框 6 立无横 1 口
𡯴	左字框 6 卢字头 早
𡯵	左字框 6 3 木 女
𡯶	享字头 巾 左字框 6 4
𡯷	八 儿 立无横 1 口
𡯸	八 儿 大 日 6
𡯹	左字框 6 3 田 1 6 水字边
𡯺	左字框 6 丆 目 八
𡯻	左字框 6 日 定字底
𡯼	丅 1 6 灬 左字框 6 4
𡯽	左字框 6 戌三 口 戈无一
𡯾	左字框 6 丷 西无一 二
𡯿	左字框 6 负字头 目 八
𡰀	左字框 6 女 又 手
𡰁	1 儿 千二 申 二
𡰂	八 儿 田 1 6 水字边
𡰃	左字框 6 爫 朱三 山
𡰄	左字框 6 爫 幺 大
𡰅	1 儿 骨字头 青字底
𡰆	左字框 6 3 目 木
𡰇	出 二 小 八 几
𡰈	3 目 木 1 儿
𡰉	八 儿 丷 1 聿三 兼无䒑无彐
𡰊	八 儿 骨字头 青字底
𡰋	左字框 6 山 亻 隹字边
𡰌	左字框 6 衰字腰 口 2 女
𡰍	衰字腰 口 2 女 左字框 6
𡰎	左字框 6 鳥省 灬
𡰏	1 儿 氵 京
𡰐	虍 虛字底无一 1 左字框 6 4
𡰑	左字框 6 夭 口 冂 口
𡰒	左字框 6 立无横 1 甲 二
𡰓	衰字腰 口 2 女 左字框 6 4
𡰔	享字头 口 小 左字框 6 4
𡰕	八 儿 立无横 1 甲 二
𡰖	左字框 6 爫 日 定字底
𡰗	享字头 京 左字框 6
𡰘	夭 口 冂 口 左字框 6 4
𡰙	丷 西无一 二 大 左字框 6 4
𡰚	丷 木 久二 4 牙二 2 左字框 6 4
𡰛	八 儿 臣 临右角 皿
𡰜	享字头 京 左字框 6 4
𡰝	左字框 6 艹 口 口 亻 隹字边
𡰞	1 儿 艹 口 口 亻 隹字边
𡰟	八 儿 吂 月 丷 1 举字底 凡
𡰠	左字框 6 吂 月 丷 1 举字底 凡
𡰡	八 儿 爫 山 亻 隹字边 冂 八 口
𡰢	左字框 6 爫 山 亻 隹字边 冂 八 口
𡰣	叚右角 3
𡰤	丷 尸
𡰥	尸 二
𡰦	尸 人
𡰧	彐 万无横
𡰨	尸 1 2
𡰩	尸 5 二
𡰪	尸 口
𡰫	尸 又 4
𡰬	尸 弓
𡰭	尸 荒字底
𡰮	临字旁 1 尸
𡰯	尸 巾
𡰰	尸 4 节字底
𡰱	尸 丅 1
𡰲	尸 尸
𡰳	尸 习
𡰴	彐 万无横
𡰵	尸 攴
𡰶	尸 日
𡰷	尸 冬字底 十
𡰸	尸 十 又
𡰹	尸 3 2 3 3
𡰺	尸 叚右角 刀
𡰻	尸 叚右角 又
𡰼	尸 5 子字底 6
𡰽	尸 左字框 6 4
𡰾	尸 3 6 2 3
𡰿	尸 八 夂
𡱀	享字头 尸
𡱁	尸 卧人 大
𡱂	尸 1 儿 几
𡱃	尸 久二 巾
𡱄	尸 三 6 4
𡱅	尸 土 厶
𡱆	尸 1 内
𡱇	尸 卢字头 口
𡱈	尸 句
𡱉	聿三 3 聿三 3
𡱊	尸 5 2 水字框
𡱋	由 尸
𡱌	尸 1 日 1
𡱍	尸 亠 亥无亠无人 人
𡱎	尸 肉
𡱏	尸 幺 小
𡱐	尸 1 弓 人
𡱑	尸 厶 青字底
𡱒	尸 共
𡱓	尸 二 厶 几
𡱔	尸 二 日
𡱕	尸 二 二 七
𡱖	尸 朱
𡱗	尸 龷 厶
𡱘	尸 尚字头 1 儿
𡱙	尸 丩 攵
𡱚	尸 亻 3 廾
𡱛	尸 4 3 夫
𡱜	尸 3 冫 6 飞无折
𡱝	尸 丷 1 举字底
𡱞	尸 屰
𡱟	尸 巛 5 子字底
𡱠	士 口 尸
𡱡	尸 1 耳无一
𡱢	尸 厶 卧人 大
𡱣	尸 彳 5 4 5 2
𡱤	尸 氵 千二 七
𡱥	尸 厶 八 夂
𡱦	尸 延字心无撇 辶
𡱧	尸 二 2 二 3 5
𡱨	丷 尸 十 口
𡱩	扌 3 七 尸 4
𡱪	尸 忄 十 又
𡱫	尸 3 扌 戈无一
𡱬	尸 千二 七 5 子字底
𡱭	尸 千二 七 干
𡱮	尸 4 田 1
𡱯	尸 王 廾
𡱰	尸 1 豕省
𡱱	尸 彳 夭
𡱲	尸 人 人 3 几
𡱳	尸 氵 少三 3
𡱴	尸 巛 2 水字框
𡱵	尸 千二 七 小
𡱶	尸 口 3 口
𡱷	尸 1 耳无一 6
𡱸	冂 乂 刂 尸 4
𡱹	尸 彳 匕 5 6
𡱺	尸 彳 句
𡱻	尸 1 亞无二 1
𡱼	尸 日 木
𡱽	尸 勹 横两撇 心
𡱾	尸 1 耳无一 又
𡱿	尸 日 勹 横两撇
𡲀	尸 宀 八 丅 1
𡲁	尸 彳 左字框 又 4
𡲂	临字旁 1 尸 见二 三
𡲃	尸 厂 1 厶 土
𡲄	尸 1 夫三 1 举字底
𡲅	尸 木 十 又
𡲆	尸 丩 丆 十 又
𡲇	尸 口 禺字底
𡲈	尸 千二 七 亠 乂
𡲉	尸 千二 七 日
𡲊	尸 千二 七 月
𡲋	尸 千二 七 5 4 又
𡲌	尸 丅 1 丘
𡲍	尸 口 幺 5 3
𡲎	尸 卑
𡲏	尸 彳 匕 巳
𡲐	尸 爫 5 子字底 6
𡲑	尸 巛 卧人 大
𡲒	尸 巛 出
𡲓	尸 三 3 三 2
𡲔	尸 卧人 大 千二 七
𡲕	尸 彳 日 曳字底
𡲖	尸 见二 1 乂 鬯四点
𡲗	尸 犬 出
𡲘	尸 二 2 二 2 水字框
𡲙	尸 覀 土
𡲚	尸 丷 西无一 二
𡲛	尸 彳 夂 牙二 2
𡲜	尸 人 人 冂 艹
𡲝	尸 丅 1 日 曳字底
𡲞	丷 尸 几 十 口
𡲟	尸 彳 3 舟无撇
𡲠	尸 口 1 尸 又
𡲡	临字旁 1 尸 刀 亼 6
𡲢	尸 艹 5 3 口
𡲣	尸 阝 夂 牙二 2
𡲤	尸 千二 七 见二 三
𡲥	尸 千二 七 3 龶
𡲦	尸 1 口 2 心
𡲧	尸 千二 七 未
𡲨	尸 千二 七 土 厶
𡲩	尸 二 2 二 比字旁 匕
𡲪	尸 千二 七 乃 5 子字底
𡲫	尸 千二 七 左字框 巾
𡲬	尸 二 2 二 出
𡲭	尸 千二 七 日 曳字底
𡲮	尸 3 见二 乂 1 比字旁 匕
𡲯	尸 丄 人 人 亥无亠无人 又
𡲰	尸 彳 亼 朩
𡲱	尸 丄 人 人 左字框 十
𡲲	尸 彳 厶 八 夂
𡲳	尸 弓 冫 弓 冫
𡲴	尸 火 丷 木
𡲵	尸 人 人 人 人 几
𡲶	尸 率字腰 6 出
𡲷	尸 十 艹 3 木
𡲸	尸 千二 七 丷 木
𡲹	尸 3 丷 木 女
𡲺	尸 率字腰 人 青字底
𡲻	尸 1 口 口 巾
𡲼	尸 千二 七 亠 亥无亠无人 人
𡲽	尸 3 目 牙二 儿
𡲾	尸 彳 爫 女
𡲿	尸 丩 丆 日 曳字底
𡳀	尸 千二 七 负字头 厂 5 6
𡳁	尸 丷 木 大 4
𡳂	尸 山 1 口 丷 1
𡳃	尸 千二 七 全字头 二 厶
𡳄	尸 口 亠 回
𡳅	尸 3 日 比字旁 牙二 儿
𡳆	尸 虍 见二 三
𡳇	尸 习 习 全字头 彡
𡳈	尸 火 火 土
𡳉	尸 火 火 夂
𡳊	尸 千二 七 王 廾
𡳋	尸 夫 4 艮
𡳌	尸 彳 5 4 矛无龴 夂
𡳍	尸 幺 横三点 句
𡳎	尸 千二 七 口 3 口
𡳏	尸 3 冫 6 飞无折 句
𡳐	尸 彳 3 舟无撇 夂
𡳑	尸 3 人 人 人 人 土
𡳒	尸 千二 七 1 田 凵
𡳓	尸 千二 七 宀 二 小
𡳔	尸 千二 七 厶 大 彡
𡳕	尸 千二 七 非
𡳖	尸 千二 七 艹 亻 化字边
𡳗	尸 千二 七 丷 丅 1 尸
𡳘	尸 丅 人 人 人 人 凵
𡳙	尸 冫 2 艹 1 6 木
𡳚	尸 5 见二 1 口 1 戈无一 1
𡳛	尸 丷 木 士 口
𡳜	尸 千二 七 3 木 5 子字底
𡳝	尸 千二 七 亠 人 人 十
𡳞	尸 丷 木 久二 4 牙二 2
𡳟	尸 5 口 盥左角 日 6
𡳠	尸 冫 欠 目 八
𡳡	尸 丄 人 人 凵 3 凵 2
𡳢	尸 4 十 左字框 日 阝
𡳣	十 左字框 日 阝 尸 4
𡳤	尸 4 十 左字框 日 阝
𡳥	尸 丆 口 亠 人 人 十
𡳦	尸 千二 七 八 士 眉字框
𡳧	由 尸 3 无三 3 干
𡳨	尸 木 又 又 又 木
𡳩	尸 千二 七 聿三 土 日
𡳪	尸 千二 七 土 亻 隹字边
𡳫	尸 黑五 里无日 灬 土
𡳬	尸 虍 田 皿
𡳭	尸 匕 木 又 又 又 木
𡳮	尸 3 木 龶 目 八
𡳯	尸 木 夭 口 冂 口
𡳰	尸 衰字腰 口 2 女 十 口
𡳱	尸 千二 七 艹 日 禺字底
𡳲	尸 千二 七 爫 日 禺字底
𡳳	尸 千二 七 亼 曾字头无丷 日
𡳴	吂 月 艹 1 尸 凡
𡳵	尸 丷 木 女 艹 2 日
𡳶	艹 2 日 尸 丷 木 女
𡳷	尸 覀 彳 卧人 日 夂
𡳸	尸 彳 厂 3 木 3 木 止
𡳹	尸 千二 七 罒 厶 青字底 匕 匕
𡳺	尸 千二 七 3 日 卑六 6 厶
𡳻	尸 目 尸 目 尸 目
𡳼	艹 1 盥左角 盥右角 2 尸 二 2 二 出
𡳽	竹头 馬字框 灬 尸 1 厶 土
𡳾	凵 6
𡳿	6 2 1 丄
𡴀	凵 举字底
𡴁	凵 3 幺
𡴂	凵 3 凵 6
𡴃	与 凵 3
𡴄	凵 3 冖 5
𡴅	凵 3 巾
𡴆	凵 3 六
𡴇	凵 3 三 2
𡴈	1 出 6
𡴉	1 凵 6 凡
𡴊	凵 3 1 冂 1
𡴋	凵 3 6 5 亠 4
𡴌	亼 丷 凵 2
𡴍	凵 3 1 3 土
𡴎	凵 3 3 㠯
𡴏	凵 3 人 日
𡴐	凵 3 早
𡴑	凵 3 人 口 2
𡴒	凵 3 1 亽 5 4
𡴓	3 冂 乂 1 凵 6
𡴔	凵 3 大 4 5 4
𡴕	凵 3 卧人 6 5 亠 4
𡴖	凵 3 人 丷 1 十
𡴗	凵 3 口 3 口
𡴘	夭 屰
𡴙	凵 3 3 日 十
𡴚	凵 3 凵 2 八 刀
𡴛	凵 3 土 6 5 亠 4
𡴜	凵 3 八 人 日
𡴝	凵 3 6 2 又 大 十
𡴞	凵 3 大 十 厶 儿
𡴟	凵 2 八 卝 干
𡴠	凵 3 凵 3 凵 2 土
𡴡	凵 2 八 1 口 口
𡴢	1 凵 6 丷 1 业无横 1
𡴣	1 凵 6 爫 聿三 2
𡴤	人 人 亻 人 人 凵 3
𡴥	凵 3 亠 乂 凵 禸
𡴦	凵 3 黑五 里无日 灬
𡴧	凵 3 延字心无撇 止 人 亠 6
𡴨	凵 3 凵 3 凵 2 凵 人 十
𡴩	凵 人 十 口 口 口
𡴪	凵 3 1 八 凵 3 1 八 凵 2 1 八
𡴫	凵 3 六 凵 3 六 凵 3 六
𡴬	亻 人 人 人 人 亻 人 人 人 人 凵 2 凵 2
𡴭	山 5
𡴮	山 5
𡴯	山 5
𡴰	山 马二
𡴱	山 5 6
𡴲	负字头 山
𡴳	凵 山
𡴴	3 5 山
𡴵	山 1 2
𡴶	山 丅
𡴷	乂 山
𡴸	儿 山
𡴹	山 卩
𡴺	卩 山
𡴻	刀 山
𡴼	山 5 6
𡴽	山 5 3
𡴾	山 已
𡴿	山 丸
𡵀	山 亠 6
𡵁	负字头 4 山
𡵂	山 1 几
𡵃	山 干
𡵄	山 举字底
𡵅	山 川
𡵆	山 巳
𡵇	山 5 子字底
𡵈	山 左字框 6
𡵉	山 1 儿
𡵊	山 卢字头 5
𡵋	山 卢字头 5
𡵌	山 4 乂
𡵍	亠 6 山
𡵎	丸 山
𡵏	山 幺
𡵐	山 1 3 5
𡵑	刃 山
𡵒	巳 山
𡵓	山 左字框 厶
𡵔	山 左字框 6 4
𡵕	周字框 亠 山
𡵖	山 火
𡵗	山 6 大
𡵘	山 反字框 叚右角
𡵙	山 卬
𡵚	山 全字头 乔字底
𡵛	山 八 乂
𡵜	山 3 举字底
𡵝	山 人 人
𡵞	山 三 2
𡵟	山 巴三 6
𡵠	见二 人 山
𡵡	亠 乂 山
𡵢	山 左字框 又
𡵣	3 牜无丿 山
𡵤	山 1 山
𡵥	山 牙二 2 3
𡵦	山 左字框 厶
𡵧	山 二 儿
𡵨	山 攴
𡵩	止 山
𡵪	久二 4 1 山
𡵫	山 3 丄 5
𡵬	山 木
𡵭	1 凵 6 山
𡵮	山 1 幺
𡵯	山 少三 3
𡵰	山 2 水字框
𡵱	山 反字框 丅
𡵲	山 攵
𡵳	山 八 刀
𡵴	山 八 厶
𡵵	山 风省 十
𡵶	勹 横两撇 山
𡵷	山 几 几
𡵸	山 尸 4
𡵹	几 几 山
𡵺	山 勹 厶
𡵻	山 亠 几
𡵼	山 火
𡵽	5 1 丄 山
𡵾	5 子字底 6 山
𡵿	山 幺 5
𡶀	山 内
𡶁	山 1 凵 6
𡶂	山 厂 二
𡶃	山 4 尸 5
𡶄	山 勹 巳
𡶅	山 1 口 6
𡶆	山 1 口 6
𡶇	必 山
𡶈	山 口 乂
𡶉	山 3 4 5 4
𡶊	山 卧人 韦无二 6
𡶋	山 尸 3 5
𡶌	山 丆 口
𡶍	山 人 亠 6
𡶎	山 未
𡶏	山 出
𡶐	山 5 3 口
𡶑	山 艹 二
𡶒	山 弓 乔字底
𡶓	2 5 冂 山
𡶔	山 厂 戈无一
𡶕	5 龰 山
𡶖	山 左字框 又 4
𡶗	山 民字框 1 6
𡶘	民字框 1 6 山
𡶙	山 厂 戈无一
𡶚	山 田
𡶛	山 卡
𡶜	山 斥
𡶝	山 冂 口
𡶞	山 夂 冬字底
𡶟	山 久二 4 5 6
𡶠	卧人 丷 1 山
𡶡	山 丷 举字底
𡶢	山 兄
𡶣	山 八 夂
𡶤	山 周字框 举字底
𡶥	山 5 3 口
𡶦	山 丘
𡶧	山 立无横 1
𡶨	山 厂 3 十
𡶩	罒 山
𡶪	丆 口 山
𡶫	山 3 㠯
𡶬	冂 乂 乂 山
𡶭	山 开 刂
𡶮	山 冖 千二 七
𡶯	山 3 见二 乂 1
𡶰	山 老
𡶱	山 乂 左字框 厶
𡶲	山 乃 木
𡶳	刀 卬字旁 4 1 山
𡶴	山 立无横 厂
𡶵	山 共
𡶶	山 夂 牙二 2
𡶷	山 久二 4 牙二 2
𡶸	口 山 山
𡶹	山 幺 二 6
𡶺	山 风省 1 巾
𡶻	山 宀 5 子字底
𡶼	山 西
𡶽	山 5 2 水字框 1
𡶾	山 丆 日
𡶿	山 小 小
𡷀	尚字头 1 儿 山
𡷁	山 人 亠 乂
𡷂	山 久二 4 口
𡷃	山 勹 二 厶
𡷄	山 勹 王
𡷅	山 土 土
𡷆	1 日 1 山
𡷇	口 口 山
𡷈	山 山 山
𡷉	山 亽 丷 2
𡷊	鸟省 山
𡷋	山 八 厶 儿
𡷌	山 冂 举字底 2
𡷍	山 氵 丅 1
𡷎	山 宀 1 于无横
𡷏	山 聿三 举字底
𡷐	山 艮
𡷑	山 冫 欠
𡷒	2 二 匕 1 山
𡷓	山 大 廾
𡷔	山 几 木
𡷕	山 尸 千二 七
𡷖	山 1 車无一
𡷗	山 宀 二 儿
𡷘	山 口 別字旁底 刂
𡷙	山 5 夫三 阝
𡷚	山 卢字头 目
𡷛	山 日 干
𡷜	山 厂 亠 土
𡷝	山 1 耳无一 6
𡷞	山 己 心
𡷟	山 王 廾
𡷠	山 扌 殳
𡷡	山 口 青字底
𡷢	山 亠 6 心
𡷣	山 亼 朩
𡷤	山 口 6 大
𡷥	3 土 口 山
𡷦	即字旁 卩 山
𡷧	山 口 亽 5
𡷨	山 1 巛 丅 1
𡷩	3 十 人 人 1 凵
𡷪	山 山 1 大
𡷫	山 厂 5 戈无一
𡷬	山 山 八 1 6
𡷭	山 免
𡷮	山 享字头 又
𡷯	山 丅 人 人 1
𡷰	山 厂 二 6 水字边
𡷱	山 尸 千二 七
𡷲	山 土 亠 几
𡷳	山 厂 彐 人
𡷴	山 山 亽 5
𡷵	山 口 木
𡷶	山 山 全字头 十
𡷷	山 尸 2 水字框
𡷸	山 十 左字框 5 子字底
𡷹	山 目 儿
𡷺	艹 小 山
𡷻	山 木 山
𡷼	山 木 山
𡷽	山 1 口 木无横
𡷾	山 西无一 二
𡷿	山 口 龰
𡸀	山 冂 八 口
𡸁	3 十 龷 凵
𡸂	山 亼 朩
𡸃	山 亼 学字头 1
𡸄	山 人 人 土
𡸅	山 弓 攵
𡸆	山 5 里无日 山
𡸇	山 条
𡸈	山 日 丷 1
𡸉	山 3 木 刂
𡸊	山 免
𡸋	山 见二 1 人 人
𡸌	山 亻 亠 土
𡸍	山 冂 口 又
𡸎	山 即字旁 卩
𡸏	山 亻 立无横 1
𡸐	山 凵 2 八 刀
𡸑	山 日 勹 横两撇
𡸒	山 4 尸 犬
𡸓	凵 2 人 人 人 人
𡸔	山 风省 土 土
𡸕	山 宀 八 弓
𡸖	山 日 木
𡸗	山 1 車无一 6
𡸘	山 1 耳无一 又
𡸙	山 见二 3 木 1
𡸚	山 1 戈无一 1 戈无一
𡸛	山 亽 5 欠
𡸜	山 十 见二 四横
𡸝	山 亠 3 6 水字边 十
𡸞	山 负字头 臼
𡸟	山 巛 田
𡸠	山 3 㠯 十
𡸡	厂 口 口 山
𡸢	山 臼 儿
𡸣	山 臼 儿
𡸤	山 丩 丆 1 戈无一
𡸥	山 宀 久二 4 5 6
𡸦	山 日 6 大
𡸧	民字框 1 6 山 山
𡸨	山 1 耳无一 又
𡸩	山 丷 夫 5 6
𡸪	山 1 口 聿三 2
𡸫	山 3 无三 3 干
𡸬	山 3 见二 5 叚右角
𡸭	见二 1 1 亞无二 1 山
𡸮	山 5 二 2 率字腰
𡸯	山 爫 木
𡸰	山 4 尸 方
𡸱	山 火 日
𡸲	山 1 車无一 6
𡸳	山 十 艹 1 儿
𡸴	山 亼 口 人
𡸵	山 爫 聿三 2
𡸶	山 宀 二 小
𡸷	山 艹 三 八
𡸸	1 日 虫无口 山
𡸹	山 雨
𡸺	山 龶 青字底
𡸻	山 木 全字头 乔字底
𡸼	山 土 申
𡸽	山 十 见二 四横
𡸾	山 口 日 6
𡸿	山 口 冂 山
𡹀	山 八 厶 攵
𡹁	3 十 2 二 匕 山
𡹂	山 爫 冖 1 2
𡹃	山 土 八 夂
𡹄	山 1 亞无二 1
𡹅	1 亞无二 1 山
𡹆	山 土 6 5 亠 4
𡹇	山 木 木
𡹈	山 1 聿三 龰
𡹉	山 止 十 又
𡹊	山 目 大
𡹋	山 日 亠 乂
𡹌	山 日 月
𡹍	凵 2 见二 十 口 1
𡹎	山 见二 1 目
𡹏	山 见二 1 出
𡹐	山 亻 隹字边
𡹑	山 爫 王
𡹒	山 八 人 日
𡹓	山 亽 5 心
𡹔	山 月 月
𡹕	山 亠 乂 凵 儿
𡹖	山 火 火
𡹗	山 宀 八 弓
𡹘	4 尸 攵 山
𡹙	山 彐 冖 巾
𡹚	木 木 山
𡹛	山 大 日 6
𡹜	山 3 木 女
𡹝	山 宀 八 丅 1
𡹞	山 京
𡹟	山 木 冖 儿
𡹠	山 宀 见二 三
𡹡	山 京
𡹢	山 反字框 丅 辶
𡹣	山 阝 1 口 2
𡹤	山 见二 3 木 1
𡹥	山 卬字旁 3 卩 土
𡹦	山 宀 定字底
𡹧	山 上 小 又
𡹨	山 日 冖 又
𡹩	臣 又 山
𡹪	山 5 2 口 又 1
